,Idx,power,voltage
1562102961,866131033548393,0,223
1562103021,866131033548393,0,226
1562103081,866131033548393,0,226
1562103141,866131033548393,0,226
1562103201,866131033548393,0,226
1562103261,866131033548393,0,226
1562103321,866131033548393,0,226
1562103381,866131033548393,0,227
1562103441,866131033548393,0,226
1562103501,866131033548393,0,226
1562103561,866131033548393,0,226
1562103621,866131033548393,0,227
1562103681,866131033548393,0,227
1562103741,866131033548393,0,227
1562103801,866131033548393,0,227
1562103861,866131033548393,0,226
1562103921,866131033548393,0,227
1562103981,866131033548393,0,227
1562104041,866131033548393,0,227
1562104101,866131033548393,0,227
1562104161,866131033548393,0,227
1562104221,866131033548393,0,227
1562104281,866131033548393,0,228
1562104341,866131033548393,0,228
1562104401,866131033548393,0,228
1562104461,866131033548393,0,228
1562104521,866131033548393,0,228
1562104581,866131033548393,0,228
1562104641,866131033548393,0,228
1562104701,866131033548393,0,228
1562104761,866131033548393,0,228
1562104821,866131033548393,0,228
1562104881,866131033548393,0,228
1562104941,866131033548393,0,228
1562105001,866131033548393,0,228
1562105061,866131033548393,0,228
1562105121,866131033548393,0,228
1562105181,866131033548393,0,228
1562105241,866131033548393,0,228
1562105301,866131033548393,0,228
1562105361,866131033548393,0,228
1562105421,866131033548393,0,228
1562105481,866131033548393,0,228
1562105541,866131033548393,0,228
1562105601,866131033548393,0,228
1562105661,866131033548393,0,228
1562105721,866131033548393,0,228
1562105781,866131033548393,0,227
1562105841,866131033548393,0,226
1562105901,866131033548393,0,226
1562105961,866131033548393,0,226
1562106021,866131033548393,0,226
1562106081,866131033548393,0,226
1562106141,866131033548393,0,226
1562106201,866131033548393,0,226
1562106261,866131033548393,0,226
1562106321,866131033548393,0,226
1562106381,866131033548393,0,227
1562106441,866131033548393,0,228
1562106501,866131033548393,0,228
1562106562,866131033548393,0,228
1562106622,866131033548393,0,228
1562106682,866131033548393,0,228
1562106742,866131033548393,0,228
1562106802,866131033548393,0,228
1562106862,866131033548393,0,228
1562106922,866131033548393,0,228
1562106982,866131033548393,0,228
1562107042,866131033548393,0,228
1562107102,866131033548393,0,228
1562107162,866131033548393,0,228
1562107222,866131033548393,0,228
1562107282,866131033548393,0,228
1562107342,866131033548393,0,228
1562107402,866131033548393,0,228
1562107462,866131033548393,0,228
1562107522,866131033548393,0,228
1562107582,866131033548393,0,228
1562107642,866131033548393,0,227
1562107702,866131033548393,0,227
1562107762,866131033548393,0,227
1562107822,866131033548393,0,228
1562107882,866131033548393,0,228
1562107942,866131033548393,0,227
1562108002,866131033548393,0,226
1562108062,866131033548393,0,226
1562108122,866131033548393,0,226
1562108182,866131033548393,0,226
1562108242,866131033548393,0,226
1562108302,866131033548393,0,226
1562108362,866131033548393,0,226
1562108422,866131033548393,0,226
1562108482,866131033548393,0,226
1562108542,866131033548393,0,227
1562108602,866131033548393,0,228
1562108662,866131033548393,0,228
1562108722,866131033548393,0,228
1562108782,866131033548393,0,228
1562108842,866131033548393,0,228
1562108902,866131033548393,0,228
1562108962,866131033548393,0,228
1562109022,866131033548393,0,228
1562109082,866131033548393,0,228
1562109142,866131033548393,0,228
1562109202,866131033548393,0,228
